name	x	y	z
AF3	12.43	3.02	1.36
AF4	11.73	-4.30	0.43
F7	8.17	6.64	-1.53
F5	9.54	5.88	0.80
F3	10.27	4.23	2.42
F1	11.02	1.88	4.59
Fz	10.22	-0.60	4.29
F2	10.69	-4.00	3.94
F4	9.85	-5.63	2.08
F6	8.88	-6.97	-0.06
F8	7.52	-7.88	-2.15
FT7	5.40	7.92	-0.69
FC5	6.44	6.85	1.87
FC3	6.82	5.01	4.38
FC1	7.28	2.33	6.02
FCz	7.28	-0.89	6.68
FC2	7.22	-3.87	5.93
FC4	6.77	-6.39	4.16
FC6	5.96	-8.11	1.52
FT8	4.56	-8.88	-1.28
T7	2.80	8.34	0.23
C5	3.37	7.44	3.05
C3	3.71	5.93	6.49
C1	3.75	2.57	8.00
Cz	3.91	-1.03	8.48
C2	3.57	-4.35	7.59
C4	3.61	-6.80	5.55
C6	2.74	-9.02	2.80
T8	1.83	-8.99	-0.23
M1	-0.55	7.64	-8.01
TP7	-0.37	8.25	1.01
CP5	0.28	7.37	4.03
CP3	0.05	5.32	6.25
CP1	0.25	2.70	8.32
CPz	-0.01	-0.63	8.41
CP2	-0.37	-4.19	7.78
CP4	-0.59	-6.73	6.65
CP6	-0.37	-8.32	3.73
TP8	-0.72	-8.80	0.74
M2	-0.34	-7.86	-8.23
P7	-2.86	7.15	1.43
P5	-3.08	5.90	3.66
P3	-3.31	3.99	5.49
P1	-3.23	1.79	6.72
Pz	-2.99	-0.56	7.22
P2	-3.44	-2.98	6.63
P4	-3.55	-5.37	5.13
P6	-3.80	-6.93	3.39
P8	-3.66	-7.86	1.02
PO7	-5.21	5.26	1.68
PO5	-5.40	3.81	3.52
PO3	-5.76	1.70	4.80
POz	-5.82	-0.62	5.21
PO4	-5.90	-2.89	4.66
PO6	-6.09	-4.78	3.03
PO8	-5.93	-6.20	1.10
CB1	-7.91	2.75	0.18
O1	-7.10	2.99	1.76
Oz	-7.93	-0.40	2.06
O2	-7.64	-3.57	1.47
CB2	-8.55	-3.30	-0.42
VEO	9.40	4.99	-4.00
HEO	5.89	6.26	-6.05
EKG	-3.76	6.12	-10.50
R-Dia-X-(mm)	n/a	n/a	n/a
R-Dia-Y-(mm)	n/a	n/a	n/a
