onset	duration	sample	trial_type	response_time	stim_file	value
9.3900000000	n/a	4695	cue	n/a	n/a	1
16.5840000000	n/a	8292	cue	n/a	n/a	1
23.7400000000	n/a	11870	cue	n/a	n/a	1
32.1640000000	n/a	16082	cue	n/a	n/a	1
39.5040000000	n/a	19752	cue	n/a	n/a	1
48.9000000000	n/a	24450	cue	n/a	n/a	1
58.4340000000	n/a	29217	cue	n/a	n/a	1
66.5940000000	n/a	33297	cue	n/a	n/a	1
74.1440000000	n/a	37072	cue	n/a	n/a	1
81.9940000000	n/a	40997	cue	n/a	n/a	1
89.1800000000	n/a	44590	cue	n/a	n/a	1
97.5500000000	n/a	48775	cue	n/a	n/a	1
104.5300000000	n/a	52265	cue	n/a	n/a	1
111.4540000000	n/a	55727	cue	n/a	n/a	1
118.5300000000	n/a	59265	cue	n/a	n/a	1
125.5940000000	n/a	62797	cue	n/a	n/a	1
132.6240000000	n/a	66312	cue	n/a	n/a	1
139.9900000000	n/a	69995	cue	n/a	n/a	1
147.4600000000	n/a	73730	cue	n/a	n/a	1
158.0000000000	n/a	79000	cue	n/a	n/a	1
165.2300000000	n/a	82615	cue	n/a	n/a	1
172.4400000000	n/a	86220	cue	n/a	n/a	1
179.8100000000	n/a	89905	cue	n/a	n/a	1
187.6160000000	n/a	93808	cue	n/a	n/a	1
194.5760000000	n/a	97288	cue	n/a	n/a	1
203.7600000000	n/a	101880	cue	n/a	n/a	1
212.8460000000	n/a	106423	cue	n/a	n/a	1
220.9260000000	n/a	110463	cue	n/a	n/a	1
229.3360000000	n/a	114668	cue	n/a	n/a	1
237.0260000000	n/a	118513	cue	n/a	n/a	1
254.2820000000	n/a	127141	task end	n/a	n/a	10
